iter	Passed	Remaining
633	947	547
634	949	545
635	951	544
636	952	543
637	955	542
638	958	541
639	958	539
640	959	537
641	959	535
642	961	534
643	963	532
644	965	531
645	967	530
646	968	528
647	970	527
648	972	525
649	974	524
650	976	523
651	977	521
652	978	520
653	981	519
654	983	518
655	985	516
656	987	515
657	989	514
658	991	513
659	993	511
660	995	510
661	997	509
662	998	507
663	1000	506
664	1006	507
665	1008	505
666	1010	504
667	1019	506
668	1022	505
669	1025	505
670	1030	505
671	1031	503
672	1034	502
673	1036	501
674	1038	500
675	1040	498
676	1042	497
677	1042	495
678	1044	493
679	1045	492
680	1051	492
681	1054	491
682	1058	491
683	1063	491
684	1066	490
685	1068	489
686	1070	487
687	1071	486
688	1072	484
689	1074	482
690	1075	481
691	1077	479
692	1078	477
693	1079	476
694	1080	474
695	1081	472
696	1083	470
697	1084	469
698	1085	467
699	1086	465
700	1087	464
701	1089	462
702	1090	460
703	1091	458
704	1093	457
705	1095	456
706	1096	454
707	1097	452
708	1098	450
709	1099	449
710	1100	447
711	1101	445
712	1103	444
713	1104	442
714	1105	440
715	1106	439
716	1108	437
717	1109	435
718	1110	433
719	1111	432
720	1112	430
721	1113	428
722	1113	426
723	1114	424
724	1115	423
725	1120	422
726	1122	421
727	1124	420
728	1126	418
729	1127	416
730	1127	415
731	1129	413
732	1129	411
733	1131	409
734	1132	408
735	1133	406
736	1134	404
737	1136	403
738	1137	401
739	1137	399
740	1138	398
741	1139	396
742	1141	394
743	1142	393
744	1143	391
745	1144	389
746	1145	388
747	1147	386
748	1149	385
749	1150	383
750	1152	382
751	1154	380
752	1156	379
753	1157	377
754	1160	376
755	1162	375
756	1164	373
757	1167	372
758	1169	371
759	1171	369
760	1172	368
761	1173	366
762	1175	364
763	1176	363
764	1177	361
765	1178	360
766	1180	358
767	1181	356
768	1182	355
769	1183	353
770	1185	352
771	1185	350
772	1187	348
773	1188	346
774	1189	345
775	1190	343
776	1191	341
777	1192	340
778	1193	338
779	1195	337
780	1196	335
781	1197	333
782	1199	332
783	1200	330
784	1201	329
785	1202	327
786	1204	325
787	1205	324
788	1206	322
789	1207	320
790	1208	319
791	1209	317
792	1210	315
793	1211	314
794	1212	312
795	1214	311
796	1215	309
797	1217	308
798	1218	306
799	1219	304
800	1220	303
801	1221	301
802	1223	300
803	1224	298
804	1226	297
805	1227	295
806	1228	293
807	1229	292
808	1231	290
809	1231	288
810	1232	287
811	1234	285
812	1235	284
813	1236	282
814	1237	280
815	1239	279
816	1240	277
817	1242	276
818	1243	274
819	1245	273
820	1249	272
821	1252	271
822	1254	269
823	1255	268
824	1257	266
825	1258	265
826	1259	263
827	1262	262
828	1264	260
829	1265	259
830	1267	257
831	1268	256
832	1269	254
833	1270	252
834	1272	251
835	1273	249
836	1274	248
837	1276	246
838	1277	245
839	1279	243
840	1280	242
841	1281	240
842	1283	238
843	1284	237
844	1285	235
845	1286	234
846	1288	232
847	1289	231
848	1290	229
849	1291	227
850	1292	226
851	1294	224
852	1295	223
853	1297	221
854	1299	220
855	1300	218
856	1301	217
857	1302	215
858	1303	214
859	1305	212
860	1306	210
861	1307	209
862	1309	207
863	1310	206
864	1311	204
865	1312	203
866	1313	201
867	1315	200
868	1316	198
869	1317	196
870	1318	195
871	1319	193
872	1320	192
873	1322	190
874	1323	189
875	1325	187
876	1327	186
877	1329	184
878	1331	183
879	1333	181
880	1335	180
881	1336	178
882	1339	177
883	1342	176
884	1343	174
885	1345	173
886	1347	171
887	1349	170
888	1351	168
889	1353	167
890	1355	165
891	1356	164
892	1359	162
893	1361	161
894	1363	159
895	1365	158
896	1367	157
897	1368	155
898	1371	154
899	1372	152
900	1374	151
901	1377	149
902	1379	148
903	1380	146
904	1382	145
905	1384	143
906	1386	142
907	1387	140
908	1389	139
909	1392	137
910	1394	136
911	1395	134
912	1397	133
913	1401	131
914	1404	130
915	1406	128
916	1408	127
917	1411	126
918	1412	124
919	1414	122
920	1415	121
921	1416	119
922	1418	118
923	1419	116
924	1422	115
925	1423	113
926	1424	112
927	1426	110
928	1427	109
929	1428	107
930	1429	105
931	1431	104
932	1432	102
933	1433	101
934	1434	99
935	1435	98
936	1437	96
937	1438	95
938	1439	93
939	1440	91
940	1442	90
941	1443	88
942	1444	87
943	1446	85
944	1447	84
945	1448	82
946	1449	81
947	1451	79
948	1452	78
949	1453	76
950	1454	74
951	1455	73
952	1457	71
953	1458	70
954	1459	68
955	1460	67
956	1461	65
957	1463	64
958	1464	62
959	1465	61
960	1466	59
961	1467	57
962	1469	56
963	1470	54
964	1471	53
965	1472	51
966	1473	50
967	1474	48
968	1475	47
969	1477	45
970	1478	44
971	1479	42
972	1480	41
973	1481	39
974	1483	38
975	1484	36
976	1485	34
977	1486	33
978	1487	31
979	1488	30
980	1490	28
981	1491	27
982	1492	25
983	1493	24
984	1495	22
985	1496	21
986	1497	19
987	1498	18
988	1499	16
989	1501	15
990	1502	13
991	1503	12
992	1504	10
993	1505	9
994	1507	7
995	1508	6
996	1509	4
997	1510	3
998	1511	1
999	1513	0
